32998312	25.30	24.63	145.73	2.87	
33001288	25.30	24.63	146.22	2.88	
33004236	25.30	24.66	146.71	2.88	
33007220	25.30	24.63	146.72	2.90	
33010216	25.30	24.63	147.66	2.90	
33013184	25.30	28.15	148.15	1.93	
33016148	25.30	24.66	98.30	2.86	
33019056	25.30	25.35	146.07	2.68	
33022032	25.30	28.15	136.78	1.89	
33024980	25.30	24.66	96.64	2.83	
33027872	25.30	25.35	144.40	2.65	
33030868	25.30	24.63	135.11	2.85	
33033840	25.30	24.66	145.31	2.85	
33036824	25.30	28.15	145.32	1.88	
33039772	25.30	24.63	95.92	2.83	
33042672	25.30	25.38	144.15	2.63	
33045664	25.30	24.63	133.91	2.83	
33048672	25.30	27.96	144.58	1.91	
33051612	25.30	24.83	97.45	2.75	
33054512	25.30	25.28	140.20	2.63	
33057472	25.30	24.70	134.21	2.79	
33060448	25.30	24.63	142.51	2.82	
33063416	25.30	24.66	143.90	2.82	
33066380	25.30	24.63	143.91	2.84	
33069352	25.30	24.63	144.85	2.85	
33072348	25.30	24.66	145.34	2.85	
33075324	25.30	24.63	145.35	2.87	
33078304	25.30	28.11	146.29	1.90	
33081272	25.30	24.66	96.98	2.83	
33084164	25.30	25.38	144.24	2.64	
33087160	25.30	21.11	134.44	3.83	
33090112	25.30	28.11	195.48	1.93	
33093104	25.30	21.17	98.44	3.84	
33096012	25.30	25.35	195.66	2.73	
33098992	25.30	27.96	138.98	1.99	
33101936	25.30	24.80	101.54	2.84	
33104888	25.30	24.67	144.81	2.88	
33107872	25.30	24.63	147.05	2.90	
33110828	25.30	24.63	148.03	2.91	
33113824	25.30	24.66	148.51	2.91	
33116800	25.30	24.63	148.52	2.93	
33119784	25.30	24.63	149.46	2.94	
33122752	25.30	28.15	149.95	1.96	
33125736	25.30	24.53	100.10	2.94	
33128736	25.30	24.60	149.76	2.93	
33131656	25.30	21.25	149.38	3.88	
33134632	25.30	24.63	197.68	2.99	
33137624	25.30	24.63	152.35	3.00	
33140580	25.30	24.66	152.84	3.00	
33143576	25.30	24.63	152.86	3.01	
33146552	25.30	28.15	153.75	2.04	
33149508	25.30	24.63	103.98	2.98	
33152504	25.30	28.11	152.18	2.02	
33155472	25.30	24.70	102.87	2.93	
33158452	25.30	24.63	149.65	2.96	
33161428	25.30	24.63	151.04	2.97	
33164384	25.30	24.66	151.53	2.97	
33167356	25.30	24.63	151.55	2.99	
33170376	25.30	27.96	152.48	2.07	
33173328	25.30	24.80	105.32	2.91	
33176276	25.30	24.66	148.63	2.96	
33179296	25.30	24.63	150.90	2.98	
33182256	25.30	28.11	151.84	2.01	
33185216	25.30	24.70	102.53	2.93	
33188200	25.30	24.63	149.31	2.95	
33191212	25.30	24.63	150.69	2.96	
33194160	25.30	28.15	151.19	1.99	
33197116	25.30	24.63	101.34	2.93	
33200104	25.30	24.66	149.57	2.93	
33203052	25.30	24.63	149.59	2.95	
33206056	25.30	24.63	150.52	2.96	
33209048	25.30	24.63	151.01	2.97	
33212024	25.30	28.00	151.50	2.04	
33214976	25.30	24.80	103.79	2.89	
33217952	25.30	24.63	147.61	2.95	
33220944	25.30	24.63	150.36	2.96	
33223904	25.30	28.19	150.85	1.97	
