19100152	0.00	0.00	0.00	0.00
19102688	0.00	0.00	0.00	0.00
19105240	0.00	0.00	0.00	0.00
19107800	0.00	0.00	0.00	0.00
19110352	0.00	0.00	0.00	0.00
19112888	0.00	0.00	0.00	0.00
19115440	0.00	0.00	0.00	0.00
19118000	0.00	0.00	0.00	0.00
19120552	0.00	0.00	0.00	0.00
19123088	0.00	0.00	0.00	0.00
19125656	0.00	0.00	0.00	0.00
19128200	0.00	0.00	0.00	0.00
19130752	0.00	0.00	0.00	0.00
19133288	0.00	0.00	0.00	0.00
19135840	0.00	0.00	0.00	0.00
19138400	0.00	0.00	0.00	0.00
19140952	0.00	0.00	0.00	0.00
19143488	0.00	0.00	0.00	0.00
19146040	0.00	0.00	0.00	0.00
19148600	0.00	0.00	0.00	0.00
19151152	0.00	0.00	0.00	0.00
19153688	0.00	0.00	0.00	0.00
19156240	0.00	0.00	0.00	0.00
19158800	0.00	0.00	0.00	0.00
19161352	0.00	0.00	0.00	0.00
19163888	0.00	0.00	0.00	0.00
19166440	0.00	0.00	0.00	0.00
19169000	0.00	0.00	0.00	0.00
19171552	0.00	0.00	0.00	0.00
19174088	0.00	0.00	0.00	0.00
19176640	0.00	0.00	0.00	0.00
19179200	0.00	0.00	0.00	0.00
19181752	0.00	0.00	0.00	0.00
19184288	0.00	0.00	0.00	0.00
19186856	0.00	0.00	0.00	0.00
19189400	0.00	0.00	0.00	0.00
19191960	0.00	0.00	0.00	0.00
19194488	0.00	0.00	0.00	0.00
19197056	0.00	0.00	0.00	0.00
19199600	0.00	0.00	0.00	0.00
19202160	0.00	0.00	0.00	0.00
19204688	0.00	0.00	0.00	0.00
19207256	0.00	0.00	0.00	0.00
19209800	0.00	0.00	0.00	0.00
19212360	0.00	0.00	0.00	0.00
19214888	0.00	0.00	0.00	0.00
19217456	0.00	0.00	0.00	0.00
19220000	0.00	0.00	0.00	0.00
19222560	0.00	0.00	0.00	0.00
19225088	0.00	0.00	0.00	0.00
19227640	0.00	0.00	0.00	0.00
19230200	0.00	0.00	0.00	0.00
19232752	0.00	0.00	0.00	0.00
19235288	0.00	0.00	0.00	0.00
19237840	0.00	0.00	0.00	0.00
19240400	0.00	0.00	0.00	0.00
19242952	0.00	0.00	0.00	0.00
19245488	0.00	0.00	0.00	0.00
19248040	0.00	0.00	0.00	0.00
19250608	0.00	0.00	0.00	0.00
19253152	0.00	0.00	0.00	0.00
19255704	0.00	0.00	0.00	0.00
19258240	0.00	0.00	0.00	0.00
19260800	0.00	0.00	0.00	0.00
19263352	0.00	0.00	0.00	0.00
19265888	0.00	0.00	0.00	0.00
19268440	0.00	0.00	0.00	0.00
19271000	0.00	0.00	0.00	0.00
19273552	0.00	0.00	0.00	0.00
19276088	0.00	0.00	0.00	0.00
19278640	0.00	0.00	0.00	0.00
19281200	0.00	0.00	0.00	0.00
19283752	0.00	0.00	0.00	0.00
